id,player_name
947,Dorell Wright
948,Amar'e Stoudemire
949,Tim Duncan
950,Andre Miller
951,Kevin Martin
952,Chris Kaman
953,Kirk Hinrich
954,Jorge Gutiérrez
955,Tyler Hansbrough
956,Pablo Prigioni
957,Jeff Ayres
958,Branden Dawson
959,Andrew Goudelock
960,Charlie Villanueva
961,P.J. Hairston
962,Steve Blake
963,Mitch McGary
964,Shayne Whittington
965,Damien Inglis
966,Jordan Hamilton
967,Greg Smith
968,Tayshaun Prince
969,James Anderson
970,Duje Dukan
971,Caron Butler
972,Chris Johnson
973,Tibor Pleiß
974,Kobe Bryant
975,Robert Sacre
976,Devyn Marble
977,Henry Sims
978,Donald Sloan
979,Sergey Karasev
980,J.J. Hickson
981,Drew Gooden
982,Kendall Marshall
983,Elton Brand
984,Carl Landry
985,Bryce Cotton
986,Jordan Adams
987,Sasha Kaun
988,Chase Budinger
989,Matt Bonner
990,Cleanthony Early
991,Lou Amundson
992,Cameron Bairstow
993,Ryan Hollins
994,Cliff Alexander
995,Sonny Weems
996,Jared Cunningham
997,Alex Stepheson
998,Coty Clarke
999,Orlando Johnson
1000,O.J. Mayo
1001,Phil Pressey
1002,Rasual Butler
1003,Bryce Dejean-Jones
1004,Chris Copeland
1005,DeJuan Blair
1006,Andrea Bargnani
1007,Erick Green
1008,Chris Bosh
1009,Keith Appling
1010,Nikola Peković
1011,Cory Jefferson
1012,J.J. O'Brien
1013,Kevin Garnett
1014,Elliot Williams
1015,Kostas Papanikolaou
1016,Russ Smith
1017,Tony Wroten
1018,Chuck Hayes
1019,Nate Robinson
1020,Shawn Marion
1021,Brendan Haywood
1022,Nick Johnson
1023,Joey Dorsey
1024,Austin Daye
1025,Pero Antić
1026,Glen Davis
1027,Lester Hudson
1028,Hedo Türkoğlu
1029,Will Bynum
1030,Nick Calathes
1031,Martell Webster
1032,Earl Clark
1033,Jerome Jordan
1034,Darius Morris
1035,Joel Freeland
1036,Bernard James
1037,Greg Stiemsma
