id,matchup_id,game_id,result,team_score,opponent_score,point_diff
492,276,246,L,107,131,-24
493,277,247,L,109,119,-10
494,278,247,W,119,109,10
495,279,248,L,115,122,-7
496,280,248,W,122,115,7
497,281,249,W,120,115,5
498,282,249,L,115,120,-5
499,283,250,L,105,121,-16
500,284,250,W,121,105,16
501,285,251,W,104,102,2
502,286,251,L,102,104,-2
503,287,252,L,111,117,-6
504,288,252,W,117,111,6
505,289,253,L,95,109,-14
506,290,253,W,109,95,14
507,291,254,L,138,143,-5
508,292,254,W,143,138,5
509,293,255,W,101,92,9
510,294,255,L,92,101,-9
511,120,256,W,112,103,9
512,119,256,L,103,112,-9
513,295,257,L,84,96,-12
514,296,257,W,96,84,12
515,297,258,L,107,110,-3
516,298,258,W,110,107,3
517,299,259,W,105,104,1
518,300,259,L,104,105,-1
519,301,260,L,129,132,-3
520,302,260,W,132,129,3
521,303,261,W,120,107,13
522,304,261,L,107,120,-13
523,305,262,W,118,113,5
524,306,262,L,113,118,-5
525,307,263,W,100,89,11
526,308,263,L,89,100,-11
527,309,264,L,131,140,-9
528,310,264,W,140,131,9
529,311,265,W,112,109,3
530,312,265,L,109,112,-3
531,313,266,W,126,106,20
532,314,266,L,106,126,-20
533,315,267,W,123,111,12
534,316,267,L,111,123,-12
535,317,268,L,99,108,-9
536,318,268,W,108,99,9
537,319,269,L,102,104,-2
538,320,269,W,104,102,2
539,321,270,W,111,105,6
540,322,270,L,105,111,-6
541,323,271,L,114,118,-4
542,324,271,W,118,114,4
543,77,272,L,101,118,-17
544,78,272,W,118,101,17
545,284,273,L,117,127,-10
546,283,273,W,127,117,10
547,325,274,L,112,118,-6
548,326,274,W,118,112,6
549,327,275,L,120,139,-19
550,328,275,W,139,120,19
551,329,276,W,126,103,23
552,330,276,L,103,126,-23
553,331,277,W,132,118,14
554,332,277,L,118,132,-14
555,333,278,L,96,121,-25
556,334,278,W,121,96,25
557,75,279,W,108,102,6
558,76,279,L,102,108,-6
559,90,280,L,104,110,-6
560,89,280,W,110,104,6
561,335,281,W,99,94,5
562,336,281,L,94,99,-5
563,337,282,L,103,113,-10
564,338,282,W,113,103,10
565,339,283,W,114,112,2
566,340,283,L,112,114,-2
567,341,284,W,125,108,17
568,342,284,L,108,125,-17
569,343,285,W,121,113,8
570,344,285,L,113,121,-8
571,345,286,W,120,105,15
572,346,286,L,105,120,-15
573,347,287,W,112,104,8
574,348,287,L,104,112,-8
575,47,288,W,118,79,39
576,48,288,L,79,118,-39
577,349,289,L,108,115,-7
578,350,289,W,115,108,7
579,116,290,L,113,116,-3
580,115,290,W,116,113,3
581,351,291,L,104,125,-21
582,352,291,W,125,104,21
583,353,292,W,112,106,6
584,354,292,L,106,112,-6
585,355,293,W,114,107,7
586,356,293,L,107,114,-7
587,357,294,L,123,127,-4
588,358,294,W,127,123,4
589,359,295,L,100,119,-19
590,360,295,W,119,100,19
591,91,296,W,129,120,9
592,92,296,L,120,129,-9
593,361,297,L,126,133,-7
594,362,297,W,133,126,7
595,363,298,W,123,114,9
596,364,298,L,114,123,-9
597,365,299,W,104,103,1
598,366,299,L,103,104,-1
599,367,300,L,107,120,-13
600,368,300,W,120,107,13
601,369,301,W,116,100,16
602,370,301,L,100,116,-16
603,148,302,W,109,94,15
604,147,302,L,94,109,-15
605,304,303,W,139,134,5
606,303,303,L,134,139,-5
607,78,304,W,127,88,39
608,77,304,L,88,127,-39
609,371,305,L,123,125,-2
610,372,305,W,125,123,2
611,373,306,W,130,107,23
612,374,306,L,107,130,-23
613,375,307,W,126,113,13
614,376,307,L,113,126,-13
615,377,308,W,116,111,5
616,378,308,L,111,116,-5
617,379,309,L,107,109,-2
618,380,309,W,109,107,2
619,25,310,L,89,105,-16
620,26,310,W,105,89,16
621,381,311,W,111,91,20
622,382,311,L,91,111,-20
623,383,312,W,122,114,8
624,384,312,L,114,122,-8
625,150,313,L,118,133,-15
626,149,313,W,133,118,15
627,385,314,W,124,110,14
628,386,314,L,110,124,-14
629,387,315,W,93,85,8
630,388,315,L,85,93,-8
631,389,316,L,100,106,-6
632,390,316,W,106,100,6
633,391,317,L,130,136,-6
634,392,317,W,136,130,6
635,393,318,L,113,114,-1
636,394,318,W,114,113,1
637,395,319,L,113,116,-3
638,396,319,W,116,113,3
639,12,320,W,113,104,9
640,11,320,L,104,113,-9
641,397,321,L,117,129,-12
642,398,321,W,129,117,12
643,399,322,L,115,125,-10
644,400,322,W,125,115,10
645,401,323,W,115,99,16
646,402,323,L,99,115,-16
647,403,324,L,88,105,-17
648,404,324,W,105,88,17
649,405,325,W,111,110,1
650,406,325,L,110,111,-1
651,407,326,W,104,101,3
652,408,326,L,101,104,-3
653,409,327,L,119,129,-10
654,410,327,W,129,119,10
655,411,328,L,86,133,-47
656,412,328,W,133,86,47
657,22,329,L,118,141,-23
658,21,329,W,141,118,23
659,413,330,W,113,111,2
660,414,330,L,111,113,-2
661,415,331,W,99,96,3
662,416,331,L,96,99,-3
663,332,332,L,125,136,-11
664,331,332,W,136,125,11
665,88,333,L,103,132,-29
666,87,333,W,132,103,29
667,417,334,L,118,126,-8
668,418,334,W,126,118,8
669,419,335,L,104,116,-12
670,420,335,W,116,104,12
671,421,336,W,116,86,30
672,422,336,L,86,116,-30
673,84,337,L,106,115,-9
674,83,337,W,115,106,9
675,423,338,L,100,106,-6
676,424,338,W,106,100,6
677,425,339,L,108,112,-4
678,426,339,W,112,108,4
679,69,340,L,94,108,-14
680,70,340,W,108,94,14
681,427,341,W,130,120,10
682,428,341,L,120,130,-10
683,429,342,L,101,107,-6
684,430,342,W,107,101,6
685,431,343,W,129,126,3
686,432,343,L,126,129,-3
687,224,344,W,102,92,10
688,223,344,L,92,102,-10
689,277,345,W,109,103,6
690,278,345,L,103,109,-6
691,433,346,L,112,140,-28
692,434,346,W,140,112,28
693,244,347,L,106,110,-4
694,243,347,W,110,106,4
695,336,348,W,114,103,11
696,335,348,L,103,114,-11
697,435,349,W,112,94,18
698,436,349,L,94,112,-18
699,248,350,W,118,106,12
700,247,350,L,106,118,-12
701,437,351,L,80,119,-39
702,438,351,W,119,80,39
703,384,352,L,109,118,-9
704,383,352,W,118,109,9
705,186,353,W,108,97,11
706,185,353,L,97,108,-11
707,439,354,L,98,115,-17
708,440,354,W,115,98,17
709,441,355,W,124,122,2
710,442,355,L,122,124,-2
711,1,356,W,131,111,20
712,2,356,L,111,131,-20
713,443,357,L,97,124,-27
714,444,357,W,124,97,27
715,175,358,W,137,134,3
716,176,358,L,134,137,-3
717,445,359,L,112,129,-17
718,446,359,W,129,112,17
719,382,360,L,123,139,-16
720,381,360,W,139,123,16
721,372,361,L,112,123,-11
722,371,361,W,123,112,11
723,180,362,W,115,113,2
724,179,362,L,113,115,-2
725,447,363,L,119,125,-6
726,448,363,W,125,119,6
727,449,364,W,115,101,14
728,450,364,L,101,115,-14
729,10,365,L,117,126,-9
730,9,365,W,126,117,9
731,451,366,L,104,107,-3
732,452,366,W,107,104,3
733,453,367,L,81,127,-46
734,454,367,W,127,81,46
735,455,368,L,112,114,-2
736,456,368,W,114,112,2
737,457,369,L,103,131,-28
738,458,369,W,131,103,28
739,459,370,L,116,128,-12
740,460,370,W,128,116,12
741,461,371,W,120,110,10
742,462,371,L,110,120,-10
743,463,372,L,107,111,-4
744,464,372,W,111,107,4
745,465,373,L,98,119,-21
746,466,373,W,119,98,21
747,467,374,W,112,104,8
748,468,374,L,104,112,-8
749,59,375,W,115,86,29
750,60,375,L,86,115,-29
751,469,376,W,112,103,9
752,470,376,L,103,112,-9
753,448,377,L,105,124,-19
754,447,377,W,124,105,19
755,471,378,W,113,108,5
756,472,378,L,108,113,-5
757,108,379,W,106,98,8
758,107,379,L,98,106,-8
759,404,380,L,105,117,-12
760,403,380,W,117,105,12
761,364,381,L,101,118,-17
762,363,381,W,118,101,17
763,473,382,W,122,106,16
764,474,382,L,106,122,-16
765,157,383,W,113,104,9
766,158,383,L,104,113,-9
767,475,384,W,128,115,13
768,476,384,L,115,128,-13
769,477,385,W,127,117,10
770,478,385,L,117,127,-10
771,239,386,L,101,113,-12
772,240,386,W,113,101,12
773,479,387,L,124,129,-5
774,480,387,W,129,124,5
775,481,388,L,104,112,-8
776,482,388,W,112,104,8
777,483,389,W,135,105,30
778,484,389,L,105,135,-30
779,408,390,L,125,129,-4
780,407,390,W,129,125,4
781,485,391,W,126,106,20
782,486,391,L,106,126,-20
783,487,392,W,103,93,10
784,488,392,L,93,103,-10
785,489,393,L,133,141,-8
786,490,393,W,141,133,8
787,6,394,W,123,118,5
788,5,394,L,118,123,-5
789,491,395,L,112,116,-4
790,492,395,W,116,112,4
791,128,396,W,120,116,4
792,127,396,L,116,120,-4
793,222,397,L,111,130,-19
794,221,397,W,130,111,19
795,280,398,W,114,96,18
796,279,398,L,96,114,-18
797,360,399,L,111,118,-7
798,359,399,W,118,111,7
799,493,400,L,105,127,-22
800,494,400,W,127,105,22
801,495,401,W,115,108,7
802,496,401,L,108,115,-7
803,401,402,L,106,112,-6
804,402,402,W,112,106,6
805,141,403,L,91,101,-10
806,142,403,W,101,91,10
807,146,404,L,104,111,-7
808,145,404,W,111,104,7
809,497,405,L,101,116,-15
810,498,405,W,116,101,15
811,392,406,L,103,110,-7
812,391,406,W,110,103,7
813,457,407,W,114,106,8
814,458,407,L,106,114,-8
815,406,408,L,105,116,-11
816,405,408,W,116,105,11
817,476,409,L,117,138,-21
818,475,409,W,138,117,21
819,9,410,L,114,126,-12
820,10,410,W,126,114,12
821,499,411,W,113,101,12
822,500,411,L,101,113,-12
823,501,412,W,106,105,1
824,502,412,L,105,106,-1
825,503,413,L,100,125,-25
826,504,413,W,125,100,25
827,505,414,W,87,76,11
828,506,414,L,76,87,-11
829,220,415,L,120,127,-7
830,219,415,W,127,120,7
831,184,416,W,123,119,4
832,183,416,L,119,123,-4
833,507,417,L,126,137,-11
834,508,417,W,137,126,11
835,509,418,L,111,123,-12
836,510,418,W,123,111,12
837,428,419,L,126,135,-9
838,427,419,W,135,126,9
839,271,420,L,135,140,-5
840,272,420,W,140,135,5
841,511,421,L,109,115,-6
842,512,421,W,115,109,6
843,513,422,L,111,118,-7
844,514,422,W,118,111,7
845,462,423,W,114,113,1
846,461,423,L,113,114,-1
847,515,424,W,106,99,7
848,516,424,L,99,106,-7
849,517,425,W,133,92,41
850,518,425,L,92,133,-41
851,300,426,W,112,111,1
852,299,426,L,111,112,-1
853,20,427,W,116,100,16
854,19,427,L,100,116,-16
855,421,428,W,125,120,5
856,422,428,L,120,125,-5
857,142,429,L,118,119,-1
858,141,429,W,119,118,1
859,519,430,W,117,108,9
860,520,430,L,108,117,-9
861,262,431,L,102,122,-20
862,261,431,W,122,102,20
863,38,432,L,115,142,-27
864,37,432,W,142,115,27
865,138,433,W,111,95,16
866,137,433,L,95,111,-16
867,521,434,W,124,117,7
868,522,434,L,117,124,-7
869,296,435,W,95,92,3
870,295,435,L,92,95,-3
871,523,436,L,107,112,-5
872,524,436,W,112,107,5
873,356,437,L,101,108,-7
874,355,437,W,108,101,7
875,454,438,W,115,106,9
876,453,438,L,106,115,-9
877,525,439,L,118,119,-1
878,526,439,W,119,118,1
879,527,440,L,97,105,-8
880,528,440,W,105,97,8
881,529,441,L,91,127,-36
882,530,441,W,127,91,36
883,98,442,L,114,117,-3
884,97,442,W,117,114,3
885,531,443,L,107,119,-12
886,532,443,W,119,107,12
887,129,444,W,121,111,10
888,130,444,L,111,121,-10
889,533,445,L,117,125,-8
890,534,445,W,125,117,8
891,535,446,L,103,105,-2
892,536,446,W,105,103,2
893,465,447,L,101,112,-11
894,466,447,W,112,101,11
895,537,448,W,125,119,6
896,538,448,L,119,125,-6
897,136,449,W,98,95,3
898,135,449,L,95,98,-3
899,121,450,L,88,129,-41
900,122,450,W,129,88,41
901,195,451,L,100,116,-16
902,196,451,W,116,100,16
903,453,452,L,118,119,-1
904,454,452,W,119,118,1
905,539,453,L,103,109,-6
906,540,453,W,109,103,6
907,333,454,W,121,107,14
908,334,454,L,107,121,-14
909,541,455,L,111,128,-17
910,542,455,W,128,111,17
911,414,456,L,108,116,-8
912,413,456,W,116,108,8
913,543,457,W,127,120,7
914,544,457,L,120,127,-7
915,318,458,L,110,125,-15
916,317,458,W,125,110,15
917,16,459,L,102,129,-27
918,15,459,W,129,102,27
919,209,460,L,99,127,-28
920,210,460,W,127,99,28
921,545,461,W,120,108,12
922,546,461,L,108,120,-12
923,547,462,L,105,108,-3
924,548,462,W,108,105,3
925,549,463,L,82,96,-14
926,550,463,W,96,82,14
927,386,464,W,125,117,8
928,385,464,L,117,125,-8
929,551,465,L,97,119,-22
930,552,465,W,119,97,22
931,29,466,W,139,134,5
932,30,466,L,134,139,-5
933,553,467,L,109,113,-4
934,554,467,W,113,109,4
935,524,468,W,123,115,8
936,523,468,L,115,123,-8
937,555,469,W,112,100,12
938,556,469,L,100,112,-12
939,312,470,W,112,103,9
940,311,470,L,103,112,-9
941,557,471,L,106,137,-31
942,558,471,W,137,106,31
943,440,472,L,123,128,-5
944,439,472,W,128,123,5
945,559,473,L,102,129,-27
946,560,473,W,129,102,27
947,561,474,L,109,117,-8
948,562,474,W,117,109,8
949,310,475,L,108,129,-21
950,309,475,W,129,108,21
951,160,476,W,129,113,16
952,159,476,L,113,129,-16
953,37,477,L,106,118,-12
