id,team,opponent
409,Washington Wizards,Utah Jazz
410,Utah Jazz,Washington Wizards
411,Oklahoma City Thunder,Milwaukee Bucks
412,Milwaukee Bucks,Oklahoma City Thunder
413,Detroit Pistons,Phoenix Suns
414,Phoenix Suns,Detroit Pistons
415,Charlotte Hornets,Toronto Raptors
416,Toronto Raptors,Charlotte Hornets
417,Dallas Mavericks,Miami Heat
418,Miami Heat,Dallas Mavericks
419,Cleveland Cavaliers,New Orleans Pelicans
420,New Orleans Pelicans,Cleveland Cavaliers
421,Los Angeles Lakers,Golden State Warriors
422,Golden State Warriors,Los Angeles Lakers
423,Portland Trail Blazers,Indiana Pacers
424,Indiana Pacers,Portland Trail Blazers
425,Sacramento Kings,Oklahoma City Thunder
426,Oklahoma City Thunder,Sacramento Kings
427,Orlando Magic,Atlanta Hawks
428,Atlanta Hawks,Orlando Magic
429,New York Knicks,Charlotte Hornets
430,Charlotte Hornets,New York Knicks
431,Minnesota Timberwolves,Miami Heat
432,Miami Heat,Minnesota Timberwolves
433,Memphis Grizzlies,Houston Rockets
434,Houston Rockets,Memphis Grizzlies
435,Sacramento Kings,Golden State Warriors
436,Golden State Warriors,Sacramento Kings
437,Charlotte Hornets,Indiana Pacers
438,Indiana Pacers,Charlotte Hornets
439,Detroit Pistons,Denver Nuggets
440,Denver Nuggets,Detroit Pistons
441,Oklahoma City Thunder,Chicago Bulls
442,Chicago Bulls,Oklahoma City Thunder
443,Memphis Grizzlies,Los Angeles Clippers
444,Los Angeles Clippers,Memphis Grizzlies
445,Atlanta Hawks,Philadelphia 76ers
446,Philadelphia 76ers,Atlanta Hawks
447,Miami Heat,Cleveland Cavaliers
448,Cleveland Cavaliers,Miami Heat
449,New Orleans Pelicans,Golden State Warriors
450,Golden State Warriors,New Orleans Pelicans
451,Detroit Pistons,Portland Trail Blazers
452,Portland Trail Blazers,Detroit Pistons
453,Indiana Pacers,Toronto Raptors
454,Toronto Raptors,Indiana Pacers
455,Boston Celtics,Los Angeles Lakers
456,Los Angeles Lakers,Boston Celtics
457,San Antonio Spurs,Oklahoma City Thunder
458,Oklahoma City Thunder,San Antonio Spurs
459,Minnesota Timberwolves,Denver Nuggets
460,Denver Nuggets,Minnesota Timberwolves
